article_id,newspaper,title,author,url,date,city_writing_origin,countries_mentioned,politicians_mentioned,n_comments
1,eldiario.es,"Trump carga de nuevo contra España por la guerra en Irán: “No está cooperando, podríamos cortar todo el comercio con ellos”",Andrés Gil,https://www.eldiario.es/internacional/trump-carga-nuevo-espana-no-cooperando_1_13060314.html,11/03/2026,Washington,"Chipre, Irán, Israel, España","Donald Trump, Pedro Sánchez",77
2,eldiario.es,Más líos para Starmer: un informe interno le advirtió del “riesgo de reputación” por la relación de Mandelson y Epstein,María Ramírez,https://www.eldiario.es/internacional/lios-starmer-informe-interno-le-advirtio-riesgo-reputacion-relacion-mandelson-epstein_1_13058929.html,11/03/2026,Oxford (Reino Unido),"China, Reino Unido, Estados Unidos",Donald Trump,0
3,eldiario.es,El Gobierno cesa a la embajadora en Israel y rebaja la representación diplomática española en el país,NA,https://www.eldiario.es/internacional/gobierno-cesa-embajadora-israel-rebaja-representacion-diplomatica-espanol-pais_1_13058864.html,11/03/2026,NA,"Irán, Israel, Líbano, Reunión, España","Netanyahu, Pedro Sánchez",41
4,eldiario.es,La elección de “Jamenei 2.0” divide Irán: del apoyo de los medios oficiales al temor a una mayor represión,NA,https://www.eldiario.es/internacional/theguardian/eleccion-jamenei-2-0-divide-iran-apoyo-medios-oficiales-temor-mayor-represion_1_13055125.html,11/03/2026,NA,Israel,Donald Trump,11
5,eldiario.es,Qué pruebas existen de la responsabilidad de EEUU en el ataque contra la escuela de niñas en Irán,NA,https://www.eldiario.es/internacional/theguardian/pruebas-existen-responsabilidad-eeuu-ataque-escuela-ninas-iran_1_13055022.html,10/03/2026,NA,"Irán, Israel, Estados Unidos",Donald Trump,15
6,eldiario.es,"Quién es Mojtaba Jamenei, el nuevo líder supremo de Irán",Patrick Wintour,https://www.eldiario.es/internacional/theguardian/mojtaba-jamenei-nuevo-lider-supremo-iran_1_13051563.html,09/03/2026,NA,"Irán, Irak, Israel, Estados Unidos",Donald Trump,21
7,eldiario.es,“Un tipo muy peligroso”: alarma en el Ejército mientras Pete Hegseth disfruta con la carnicería de la guerra contra Irán,David Smith,https://www.eldiario.es/internacional/theguardian/tipo-peligroso-alarma-ejercito-pete-hegseth-disfruta-carniceria-guerra-iran_1_13051221.html,09/03/2026,Washington,"Afganistán, Cuba, Irán, Irak, Kuwait, Estados Unidos",Donald Trump,165
8,eldiario.es,El cisma provocado en la UE obliga a Von der Leyen a recular: “Siempre defenderemos los principios de la ONU y el derecho internacional”,Rodrigo Ponce de León,https://www.eldiario.es/internacional/cisma-provocado-ue-obliga-von-der-leyen-recular-defenderemos-principios-onu-derecho-internacional_1_13057946.html,11/03/2026,Bruselas,"Chipre, Gibraltar, Irán, Israel, Montserrat, Turquía, Ucrania, Reino Unido, Estados Unidos","Von der Leyen, Putin, Donald Trump, Pedro Sánchez, Netanyahu",118
9,eldiario.es,"Guerra en Irán: última hora del ataque de EEUU e Israel, en directo",elDiario.es,https://www.eldiario.es/internacional/guerra-iran-ultima-hora-ataque-eeuu-e-israel-directo_6_13057884.html,11/03/2026,NA,"Baréin, Canadá, Chipre, India, Irán, Irak, Israel, Italia, Kuwait, Letonia, Líbano, México, Omán, Catar, Reunión, Arabia Saudí, España, Emiratos Árabes Unidos, Estados Unidos","Von der Leyen, Donald Trump, Netanyahu",4
10,eldiario.es,La guerra de Trump en Irán es la más impopular de todas para los estadounidenses,Andrés Gil,https://www.eldiario.es/internacional/cronicas-desde-trumplandia/guerra-trump-iran-impopular-estadounidenses_132_13057704.html,11/03/2026,NA,"Irán, Israel, Estados Unidos",Donald Trump,28
11,eldiario.es,La policía investiga como un “acto deliberado” el incendio de un autobús en Suiza que ha causado seis muertos,NA,https://www.eldiario.es/internacional/seis-muertos-incendio-autobus-suiza_1_13057727.html,11/03/2026,NA,Suiza,NA,0
12,eldiario.es,"Philippe Lazzarini: “Hay que mantenerse firmes, porque si no hay derecho internacional se impone la ley de la selva”",Olga Rodríguez,https://www.eldiario.es/internacional/philippe-lazzarini-hay-mantenerse-firmes-si-no-hay-derecho-internacional-impone-ley-selva_128_13057372.html,11/03/2026,NA,"Irán, Israel, Líbano, España, Estados Unidos",Netanyahu,11
13,eldiario.es,"Donald Trump, muerte, destrucción y pornografía de guerra",Iñigo Sáenz de Ugarte,https://www.eldiario.es/internacional/donald-trump-muerte-destruccion-pornografia-guerra_1_13055750.html,11/03/2026,NA,"India, Irán, Sri Lanka",Donald Trump,44
14,eldiario.es,EEUU afirma haber hundido 16 barcos que soltaban minas en Ormuz y Trump amenaza a Irán con “consecuencias nunca vistas” si no desmina el Estrecho,Andrés Gil,https://www.eldiario.es/internacional/trump-afirma-haber-hundido-10-barcos-minas-ormuz-amenaza-iran-consecuencias-vistas-si-no-desmina-estrecho_1_13057673.html,11/03/2026,Washington,"Irán, Irak, Kuwait, Estados Unidos",Donald Trump,15
15,eldiario.es,Trump evidencia la falta de un plan claro con Irán y se enreda sobre la duración de la guerra,Andrés Gil,https://www.eldiario.es/internacional/trump-evidencia-falta-plan-claro-iran-enreda-duracion-guerra_1_13057306.html,11/03/2026,Washington,"Irán, Israel, Reunión",Donald Trump,46
16,eldiario.es,"El jefe del Pentágono advierte: “Hoy será, una vez más, nuestro día más intenso de ataques en Irán”",Andrés Gil,https://www.eldiario.es/internacional/jefe-pentagono-advierte-hoy-sera-vez-dia-intenso-ataques-iran_1_13055765.html,10/03/2026,Washington,"Irán, Estados Unidos",Donald Trump,46
17,eldiario.es,Costa rechaza el paso en falso de Von der Leyen: “El unilateralismo no puede ser el camino y la UE debe defender el orden internacional”,Rodrigo Ponce de León,https://www.eldiario.es/internacional/costa-rechaza-paso-falso-von-der-leyen-unilateralismo-no-camino-ue-debe-defender-orden-internacional_1_13054875.html,10/03/2026,Bruselas,"Afganistán, China, Chipre, Francia, Alemania, Grecia, Groenlandia, Irán, Israel, Italia, Rusia, España, Sudán, Ucrania, Estados Unidos","Von der Leyen, Donald Trump",69
18,eldiario.es,Así te hemos contado la última hora del ataque de EEUU e Israel a Irán del 10 de marzo de 2026,elDiario.es,https://www.eldiario.es/internacional/ultima-hora-ataque-eeuu-e-israel-iran-directo_6_13054794.html,10/03/2026,NA,"Irán, Israel, Líbano, Estados Unidos",Donald Trump,172
19,eldiario.es,"El imperialismo crudo de Trump no es símbolo del poder de EEUU, sino síntoma de su decadencia",Javier Biosca Azcoiti,https://www.eldiario.es/internacional/la-semana-internacional/imperialismo-crudo-trump-no-simbolo-eeuu-sintoma-decadencia_132_13054604.html,10/03/2026,NA,"Canadá, Groenlandia, Irán, Irak, España, Estados Unidos","von der Leyen, Donald Trump",21
20,eldiario.es,Una multitud de mujeres marcha contra la avanzada reaccionaria de Milei,Mercedes López San Miguel,https://www.eldiario.es/internacional/argentina-javier-milei-8m_1_13054746.html,10/03/2026,Buenos Aires,Argentina,Milei,2
21,eldiario.es,"Trump, sobre Cuba: “Puede que sea una toma de control amistosa, o puede que no”",Andrés Gil,https://www.eldiario.es/internacional/trump-cuba-sea-toma-control-amistosa-no-sea_1_13054652.html,10/03/2026,Washington,"Cuba, Irán, Panamá, Venezuela",Donald Trump,16
22,elmundo.es,"Los israelíes, bajo las bombas de racimo iraníes",SAL EMERGUI,https://www.elmundo.es/internacional/2026/03/10/69b0727afdddffea648b4596.html,10/03/2026,Tel Aviv,"Estados Unidos, Irán, Israel","Donald Trump, Netanyahu",174
23,elmundo.es,"Daniel Bashandeh, analista iraní-español: ""La república islámica ha perdido toda su legitimidad""",DARÍO PRIETO,https://www.elmundo.es/internacional/2026/03/11/69b074e8e9cf4a5f5d8b456e.html,11/03/2026,NA,"España, Irán, Israel, Estados Unidos, Rusia, China, Alemania, Francia","Netanyahu, Donald Trump, Putin",6
24,elmundo.es,"La República Islámica, inquebrantable ante las amenazas de Trump",LARA VILLALÓN,https://www.elmundo.es/internacional/2026/03/11/69b057fbe9cf4acd0a8b459d.html,11/03/2026,Estambul,"Turquía, Irán, Estados Unidos, Israel, Francia, Emiratos Árabes Unidos, Kuwait, Arabia Saudí, España",Von der Leyen,5
25,elmundo.es,Recorriendo los pueblos fantasma de Fukushima 15 años después de la tragedia nuclear,LUCAS DE LA CAL,https://www.elmundo.es/internacional/2026/03/11/69aeee86e85eceda248b4594.html?intcmp=masnoticiasportada,11/03/2026,Fukushima,"Japón, China, Corea del Sur",NA,10
26,elmundo.es,"Fico sitúa el  oleoducto ruso Druzhba en la agenda comunitaria, pero la Comisión evita compromisos",CARMEN VALERO,https://www.elmundo.es/internacional/2026/03/10/69b0698be4d4d8c8698b4588.html?intcmp=masnoticiasportada,10/03/2026,Berlín,"Eslovaquia, Ucrania, Hungría, Chequia",von der Leyen,NA
27,elmundo.es,"Jaque a la ""mafia"" del narcotráfico en Marsella: 42 detenidos en la mayor operación policial",CARLOS FRESNEDA (Corresponsal),https://www.elmundo.es/internacional/2026/03/10/69b06728fdddfffe138b45a4.html?intcmp=masnoticiasportada,10/03/2026,NA,NA,NA,NA
28,elmundo.es,Kast asume el poder con la incógnita abierta de cuán lejos podrá llegar en su promesa de cambiar Chile,SEBASTIÁN FEST,https://www.elmundo.es/internacional/2026/03/11/69b18d25fdddff13218b4579.html?intcmp=masnoticiasportada,11/03/2026,Chile,"Chile, Cuba, Venezuela, Nicaragua, Perú, Estados Unidos, China, Paraguay","Milei, Donald Trump",NA
29,elmundo.es,Así está atacando Israel al Líbano trasladando allí la guerra,"JAVIER ESPINOSA (Información), EL MUNDO / AP / ATLAS (Vídeo)",https://www.elmundo.es/internacional/2026/03/10/69b04341e9cf4a47378b45d0-video.html?intcmp=masnoticiasportada,10/03/2026,NA,"Líbano, Israel, Irán, Siria",NA,NA
30,elmundo.es,"Israel y EEUU incrementan sus golpes aéreos contra Irán: agua y energía, objetivos críticos de la guerra",SAL EMERGUI,https://www.elmundo.es/internacional/2026/03/08/69adb7bbfc6c83a1468b4590.html?intcmp=masnoticiasportada,08/03/2026,Tel Aviv,"Irán, Israel, Estados Unidos, Líbano, Emiratos Árabes Unidos","Donald Trump, Netanyahu",168
31,elmundo.es,"Guerra de Irán y última hora del precio de petróleo, en directo | Trump vuelve a cargar contra España: ""No está cooperando. Lo están haciendo realmente mal""","JAVIER MUNERA, MARIFÉ VELASCO",https://www.elmundo.es/internacional/2026/03/11/69b106e9fb7b94bd83b8cda6-directo.html,11/03/2026,Madrid,"Estados Unidos, Israel, Irán, Arabia Saudí, Emiratos Árabes Unidos, Kuwait, España, Irak, Líbano, Chipre, Liberia, Alemania, Turquía, Tailandia, Sri Lanka, India, Rusia, Ucrania","Donald Trump, Netanyahu, von der Leyen, Von der Leyen",91
32,elmundo.es,"Guerra de Irán y última hora del precio de petróleo, en directo | Trump vuelve a cargar contra España: ""No está cooperando. Lo están haciendo realmente mal""","JAVIER MUNERA, MARIFÉ VELASCO",https://www.elmundo.es/internacional/2026/03/11/69b106e9fb7b94bd83b8cda6-directo.html,11/03/2026,Madrid,"Estados Unidos, Israel, Irán, Arabia Saudí, Emiratos Árabes Unidos, Kuwait, España, Irak, Líbano, Chipre, Liberia, Alemania, Turquía, Tailandia, Sri Lanka, India, Rusia, Ucrania","Donald Trump, Netanyahu, von der Leyen, Von der Leyen",91
33,elmundo.es,"Guerra de Irán y última hora del precio de petróleo, en directo | Trump vuelve a cargar contra España: ""No está cooperando. Lo están haciendo realmente mal""","JAVIER MUNERA, MARIFÉ VELASCO",https://www.elmundo.es/internacional/2026/03/11/69b106e9fb7b94bd83b8cda6-directo.html,11/03/2026,Madrid,"Estados Unidos, Israel, Irán, Arabia Saudí, Emiratos Árabes Unidos, Kuwait, España, Irak, Líbano, Chipre, Liberia, Alemania, Turquía, Tailandia, Sri Lanka, India, Rusia, Ucrania","Donald Trump, Netanyahu, von der Leyen, Von der Leyen",91
34,elmundo.es,"Guerra de Irán y última hora del precio de petróleo, en directo | Trump vuelve a cargar contra España: ""No está cooperando. Lo están haciendo realmente mal""","JAVIER MUNERA, MARIFÉ VELASCO",https://www.elmundo.es/internacional/2026/03/11/69b106e9fb7b94bd83b8cda6-directo.html,11/03/2026,Madrid,"Estados Unidos, Israel, Irán, Arabia Saudí, Emiratos Árabes Unidos, Kuwait, España, Irak, Líbano, Chipre, Liberia, Alemania, Turquía, Tailandia, Sri Lanka, India, Rusia, Ucrania","Donald Trump, Netanyahu, von der Leyen, Von der Leyen",91
35,elmundo.es,"Guerra de Irán y última hora del precio de petróleo, en directo | Trump vuelve a cargar contra España: ""No está cooperando. Lo están haciendo realmente mal""","JAVIER MUNERA, MARIFÉ VELASCO",https://www.elmundo.es/internacional/2026/03/11/69b106e9fb7b94bd83b8cda6-directo.html,11/03/2026,Madrid,"Estados Unidos, Israel, Irán, Arabia Saudí, Emiratos Árabes Unidos, Kuwait, España, Irak, Líbano, Chipre, Liberia, Alemania, Turquía, Tailandia, Sri Lanka, India, Rusia, Ucrania","Donald Trump, Netanyahu, von der Leyen, Von der Leyen",91
36,elmundo.es,"Guerra de Irán y última hora del precio de petróleo, en directo | Trump vuelve a cargar contra España: ""No está cooperando. Lo están haciendo realmente mal""","JAVIER MUNERA, MARIFÉ VELASCO",https://www.elmundo.es/internacional/2026/03/11/69b106e9fb7b94bd83b8cda6-directo.html,11/03/2026,Madrid,"Estados Unidos, Israel, Irán, Arabia Saudí, Emiratos Árabes Unidos, Kuwait, España, Irak, Líbano, Chipre, Liberia, Alemania, Turquía, Tailandia, Sri Lanka, India, Rusia, Ucrania","Donald Trump, Netanyahu, von der Leyen, Von der Leyen",91
37,elmundo.es,"Guerra de Irán y última hora del precio de petróleo, en directo | Trump vuelve a cargar contra España: ""No está cooperando. Lo están haciendo realmente mal""","JAVIER MUNERA, MARIFÉ VELASCO",https://www.elmundo.es/internacional/2026/03/11/69b106e9fb7b94bd83b8cda6-directo.html,11/03/2026,Madrid,"Estados Unidos, Israel, Irán, Arabia Saudí, Emiratos Árabes Unidos, Kuwait, España, Irak, Líbano, Chipre, Liberia, Alemania, Turquía, Tailandia, Sri Lanka, India, Rusia, Ucrania","Donald Trump, Netanyahu, von der Leyen, Von der Leyen",91
38,elmundo.es,"Guerra de Irán y última hora del precio de petróleo, en directo | Trump vuelve a cargar contra España: ""No está cooperando. Lo están haciendo realmente mal""","JAVIER MUNERA, MARIFÉ VELASCO",https://www.elmundo.es/internacional/2026/03/11/69b106e9fb7b94bd83b8cda6-directo.html,11/03/2026,Madrid,"Estados Unidos, Israel, Irán, Arabia Saudí, Emiratos Árabes Unidos, Kuwait, España, Irak, Líbano, Chipre, Liberia, Alemania, Turquía, Tailandia, Sri Lanka, India, Rusia, Ucrania","Donald Trump, Netanyahu, von der Leyen, Von der Leyen",91
39,elmundo.es,Starmer fue avisado del riesgo de nombrar embajador a Mandelson por sus vínculos con Epstein,AP,https://www.elmundo.es/internacional/2026/03/11/69b19a8121efa0a33f8b4595.html,11/03/2026,Londres,"Reino Unido, Estados Unidos",Donald Trump,NA
40,elmundo.es,"Más de 30 países, incluida España, impulsan la mayor liberación de reservas de petróleo",AP (Vídeo),https://www.elmundo.es/internacional/2026/03/11/69b192d8fdddffea648b45b0-video.html,11/03/2026,NA,"Irán, Ucrania",NA,NA
41,elmundo.es,Tres buques atacados en el estrecho de Ormuz en la peor noche de ataques aéreos contra Irán,LARA VILLALÓN,https://www.elmundo.es/internacional/2026/03/11/69b13e29e9cf4aeb2e8b4591.html,11/03/2026,Estambul,"Israel, Irán, Estados Unidos, Turquía, Reino Unido, Emiratos Árabes Unidos, Omán, Kuwait, Arabia Saudí",Donald Trump,45
42,elmundo.es,La población cristiana del Líbano sufre un éxodo tras los ataques israelíes,EL MUNDO,https://www.elmundo.es/internacional/2026/03/11/69b187c8e9cf4a150e8b4580-video.html,11/03/2026,NA,"Líbano, Israel",NA,NA
43,elmundo.es,"Irán no cierra el Estrecho de Ormuz y avisa a EEUU: serán ""objetivo legítimo"" si se llevan petróleo",EL MUNDO / AGENCIAS (Vídeo),https://www.elmundo.es/internacional/2026/03/11/69b17965fc6c835e5c8b459f-video.html,11/03/2026,NA,"Irán, Omán, Reino Unido, Emiratos Árabes Unidos, Liberia, Estados Unidos, Israel",NA,NA
44,elmundo.es,"Irán amenaza a su población con dispararles si se levantan contra el régimen: ""serán enemigos""",AP (Vídeo),https://www.elmundo.es/internacional/2026/03/11/69b1745cfc6c83ab188b457e-video.html,11/03/2026,NA,"Israel, Irán",NA,1
45,elmundo.es,Cierran el perímetro de la Casa Blanca después que una furgoneta se estrellara contra una barrera de seguridad,EFE,https://www.elmundo.es/internacional/2026/03/11/69b16988fc6c834e5a8b4586.html,11/03/2026,Washington,"Israel, Irán",Donald Trump,1
46,elmundo.es,"Cuatro detenidos por ""conspiración terrorista"" y posibles vínculos con el Estado Islámico en el norte de Francia",CARLOS FRESNEDA,https://www.elmundo.es/internacional/2026/03/11/69b152a9e9cf4a01548b45ad.html,11/03/2026,París,Francia,NA,3
47,elmundo.es,EEUU destruye 16 buques iraníes en el estrecho de Ormuz,EL MUNDO,https://www.elmundo.es/internacional/2026/03/11/69b14ef1fdddffa56f8b45a2-video.html,11/03/2026,NA,"Estados Unidos, Irán",Donald Trump,1
48,elmundo.es,"Von der Leyen recula y dice ahora que la UE ""siempre defenderá"" el orden internacional","DANIEL VIAÑA (Información), EL MUNDO (Vídeo)",https://www.elmundo.es/internacional/2026/03/11/69b14312fc6c83af788b456d-video.html,11/03/2026,NA,"España, Irán, Ucrania","von der Leyen, Pedro Sánchez, Von der Leyen",1
49,elmundo.es,EEUU promete petróleo más barato y un mundo sin amenazas nucleares de Irán,EL MUNDO,https://www.elmundo.es/internacional/2026/03/11/69b12ff6fdddffa56f8b4593-video.html,11/03/2026,NA,"Estados Unidos, Israel, Irán",NA,1
50,elmundo.es,"Von der Leyen intenta rebajar la crispación en el seno de la UE y se acerca al Gobierno: ""Compromiso inquebrantable con el derecho internacional""",DANIEL VIAÑA (Corresponsal),https://www.elmundo.es/internacional/2026/03/11/69b12c99e9cf4a325f8b4570.html,11/03/2026,Bruselas,"España, Rusia, Ucrania, Irán","von der Leyen, Pedro Sánchez, Von der Leyen",156
51,elmundo.es,Israel ataca un edificio de apartamentos de un barrio de Beirut,EL MUNDO,https://www.elmundo.es/internacional/2026/03/11/69b12277e85ece223b8b4592-video.html,11/03/2026,NA,"Israel, Líbano",NA,NA
52,elmundo.es,"Irán desafía a Trump, le advierte de que ""puede ser eliminado"" y EEUU responde con el bombardeo ""más intenso""",LARA VILLALÓN,https://www.elmundo.es/internacional/2026/03/10/69affb13e4d4d872668b459c.html,11/03/2026,Estambul,"Turquía, Irán, Estados Unidos, Francia, Israel, Emiratos Árabes Unidos, Kuwait, Arabia Saudí, España",Donald Trump,405
53,elmundo.es,"Guerra de Irán y última hora del precio de petróleo, en directo | Irán lanza una nueva oleada de bombardeos contra Israel y las bases estadounidenses en Irak","ALEJANDRO BONILLA, CARLOS GARCÉS | SANTIAGO SAIZ",https://www.elmundo.es/internacional/2026/03/11/69b106e9fb7b94bd83b8cda6-directo.html,11/03/2026,Madrid,"Estados Unidos, Israel, Irán, Arabia Saudí, Emiratos Árabes Unidos, Kuwait, España, Irak, Líbano, Chipre, Liberia, Alemania, Turquía, Tailandia, Sri Lanka, India, Rusia, Ucrania","Donald Trump, Netanyahu, von der Leyen, Von der Leyen",91
