article_id,newspaper,title,author,url,date,city_writing_origin,countries_mentioned,politicians_mentioned,n_comments
113,elpais.com,Los hutíes de Yemen se contienen ante el temor de nuevas represalias de Estados Unidos e Israel,Marc Español,https://elpais.com/internacional/2026-03-11/los-huties-de-yemen-se-contienen-ante-el-temor-de-nuevas-represalias-de-estados-unidos-e-israel.html,11/03/2026,El Cairo,"Irán, Israel, Estados Unidos, Irak, Yemen, Arabia Saudí",Donald Trump,0
114,elpais.com,"Japón avanza con pies de plomo en la recuperación de la energía nuclear, 15 años después del accidente de Fukushima ",Gonzalo Robledo,https://elpais.com/internacional/2026-03-11/japon-avanza-con-pies-de-plomo-en-la-recuperacion-de-la-energia-nuclear-15-anos-despues-del-accidente-de-fukushima.html,11/03/2026,Tokio,"Japón, Ucrania",NA,3
115,elpais.com,Alemania evacúa el centro de Dresde tras encontrarse una bomba de la II Guerra Mundial,El País,https://elpais.com/internacional/2026-03-11/alemania-evacua-el-centro-de-dresde-tras-encontrarse-una-bomba-de-la-ii-guerra-mundial.html,11/03/2026,Madrid,"Alemania, Estados Unidos, Reino Unido",NA,6
116,elpais.com,Trump afirma que el régimen en Cuba está “en sus últimos momentos de vida” y quiere un pacto con EE UU,Macarena Vidal Liy,https://elpais.com/internacional/2026-03-07/trump-afirma-que-el-regimen-en-cuba-esta-en-sus-ultimos-momentos-de-vida-y-quiere-un-acuerdo-con-ee-uu.html,07/03/2026,Doral,"Estados Unidos, Venezuela, Irán, Kuwait, Paraguay, Costa Rica, Argentina, Bolivia, Ecuador, República Dominicana, El Salvador, Guyana, Honduras, Panamá, Trinidad y Tobago, Chile, México, Colombia, Brasil, Cuba, China","Donald Trump, Milei",89
117,elpais.com,‘Escudo de las Américas’: Trump recibe en Miami a 12 presidentes de la derecha latinoamericana,Macarena Vidal Liy,https://elpais.com/us/2026-03-07/video-en-vivo-escudo-de-las-americas-trump-recibe-en-miami-a-12-presidentes-de-la-derecha-latinoamericana.html,07/03/2026,Miami,"China, República Dominicana, Estados Unidos, Venezuela, Cuba, Ecuador, Israel, Irán, Argentina, Bolivia, Costa Rica, El Salvador, Guyana, Honduras, Panamá, Paraguay, Trinidad y Tobago, Chile, México, Colombia, Brasil","Donald Trump, Milei",12
118,elpais.com,Expectativas y nostalgias,Antonio Muñoz Molina,https://elpais.com/opinion/2026-03-07/expectativas-y-nostalgias.html,07/03/2026,NA,"Irak, Estados Unidos, Níger, Alemania, Italia, Japón",Netanyahu,126
119,elpais.com,"El petróleo, la losa que aplasta a Cuba y da alas a Trump",Carla Gloria Colomé,https://elpais.com/us/2026-03-07/el-petroleo-la-losa-que-aplasta-a-cuba-y-da-alas-a-trump.html,07/03/2026,Nueva York,"Estados Unidos, Cuba, México, Irán, Venezuela, China",Donald Trump,22
120,elpais.com,El Departamento de Justicia publica una docena de documentos pendientes con las acusaciones contra Trump en el caso Epstein,Jesús Sérvulo González,https://elpais.com/internacional/2026-03-06/el-departamento-de-justicia-publica-una-docena-de-documentos-pendientes-con-las-acusaciones-contra-trump-en-el-caso-epstein.html,06/03/2026,Washington,"Estados Unidos, Noruega",Donald Trump,80
121,lavanguardia.com,Detenidos tres hermanos por la explosión junto a la embajada estadounidense en Oslo,Agencias,https://www.lavanguardia.com/internacional/20260311/11487431/detenidos-tres-hermanos-explosion-embajada-estadounidense-oslo.html,11/03/2026,Copenhague,"Granada, Irán, Israel, Noruega, Estados Unidos",NA,NA
122,lavanguardia.com,Kast devuelve a la ultraderecha al poder en Chile 36 años después de Pinochet,David Dusster,https://www.lavanguardia.com/internacional/20260311/11487392/kast-devuelve-ultraderecha-chile-36-anos-pinochet.html,11/03/2026,NA,"Chile, China, Reunión, España, Estados Unidos",Milei,3
123,lavanguardia.com,"Guerra en Irán y los ataques de EE.UU e Israel, en directo | Última hora sobre los ataques a Teherán y la amenaza de Trump a España",Miguel Jorge,https://www.lavanguardia.com/internacional/20260311/11486745/guerra-iran-ataque-estados-unidos-trump-putin-espana-israel-bombardeos-teheran-hoy-en-directo.html,11/03/2026,NA,NA,NA,NA
124,lavanguardia.com,El G-7 prepara el terreno para las misiones de escolta en Ormuz,Eusebio Val,https://www.lavanguardia.com/internacional/20260311/11487340/g-7-prepara-terreno-misiones-escolta-ormuz.html,11/03/2026,París,"Canadá, Chipre, Francia, Alemania, Irán, Italia, Japón, Rusia, Ucrania, Estados Unidos",NA,7
125,lavanguardia.com,Irán amenaza a EE.UU. con “un barril de petróleo a 200 dólares”,Agencias,https://www.lavanguardia.com/economia/20260311/11487135/iran-amenaza-ee-uu-barril-petroleo-200-dolares.html,11/03/2026,NA,"Irán, España, Estados Unidos",NA,1
126,lavanguardia.com,La fiscal general Pam Bondi se instala en una base militar de Washington tras recibir amenazas de los cárteles de la droga,La Vanguardia,https://www.lavanguardia.com/internacional/20260311/11487030/fiscal-general-pam-bondi-instala-base-militar-washington-recibir-amenazas-carteles-droga.html,11/03/2026,Barcelona,"Estados Unidos, Venezuela","Donald Trump, Maduro",3
127,lavanguardia.com,Reino Unido busca a 2.400 dentistas en el extranjero para que ejerzan antes de 2029,La Vanguardia,https://www.lavanguardia.com/internacional/20260311/11486927/reino-unido-busca-2-400-dentistas-extranjero-ejerzan-2029.html,11/03/2026,Barcelona,Reino Unido,NA,NA
128,lavanguardia.com,"Meloni: “Los grandes países europeos están con nosotros, salvo España”",Francesco Olivo,https://www.lavanguardia.com/internacional/20260311/11486947/meloni-reitera-operacion-iran-estuvo-fuera-derecho-internacional-matices.html,11/03/2026,Roma,"Chipre, Francia, Alemania, Irán, Israel, Italia, Omán, España, Reino Unido, Estados Unidos","Pedro Sánchez, Donald Trump",NA
129,lavanguardia.com,Israel presenta unos presupuestos que multiplican el gasto militar por dos respecto a 2023,Agencias,https://www.lavanguardia.com/internacional/20260311/11486864/israel-presenta-presupuestos-multiplican-gasto-militar-dos-respecto-2023.html,11/03/2026,Tel Aviv,"Irán, Israel, Líbano, Reunión","Netanyahu, netanyahu",1
130,lavanguardia.com,Von der Leyen subraya ahora el “compromiso inquebrantable” con el derecho internacional,Anna Buj,https://www.lavanguardia.com/internacional/20260311/11486859/von-der-leyen-subraya-compromiso-inquebrantable-derecho-internacional.html,11/03/2026,Bruselas,"Francia, Irán, Italia, Rusia, Ucrania","von der Leyen, Von der Leyen, Donald Trump, Putin, putin",144
131,lavanguardia.com,Mojtaba Jamenei resultó herido el primer día de la guerra pero Irán dice que “se encuentra bien”,La Vanguardia,https://www.lavanguardia.com/internacional/20260311/11486830/nuevo-lider-supremo-iran-resulto-herido-primer-dia-guerra.html,11/03/2026,Barcelona,"Irán, Israel, Estados Unidos",NA,14
132,lavanguardia.com,Reino Unido termina con los asientos hereditarios en la Cámara de los Lores,La Vanguardia,https://www.lavanguardia.com/internacional/20260311/11486825/reino-unido-termina-asientos-hereditarios-camara-lores.html,11/03/2026,Barcelona,NA,NA,2
133,lavanguardia.com,Un informe jurídico apunta a que El Salvador cometió crímenes de lesa humanidad durante el estado de excepción,Agencias,https://www.lavanguardia.com/internacional/20260311/11486802/informe-juridico-apunta-salvador-cometio-crimenes-lesa-humanidad-excepcion.html,11/03/2026,Londres,El Salvador,NA,1
134,lavanguardia.com,"La Armada Vencible: el poder militar del Reino Unido, en horas bajas",Rafael Ramos,https://www.lavanguardia.com/internacional/20260311/11486493/armada-vencible.html,11/03/2026,Londres,"Chipre, Egipto, Irak, Israel, Japón, Kuwait, Libia, Rusia, España, Reino Unido, Estados Unidos",NA,124
135,lavanguardia.com,La “superfloración” transforma el desierto del Valle de la Muerte en un mar de flores,Agencias,https://www.lavanguardia.com/internacional/20260311/11486485/vdd-superfloracion-desierto-valle-muerte-flores-california.html,11/03/2026,NA,NA,NA,4
136,lavanguardia.com,"Xi Jinping prioriza la lengua china en todo el territorio, en detrimento del tibetano o el uigur",Jordi Joan Baños,https://www.lavanguardia.com/internacional/20260311/11486190/xi-jinping-prioriza-lengua-china-territorio-detrimento-tibetano-uigur.html,11/03/2026,Bangkok,"China, Taiwán",NA,29
137,lavanguardia.com,Dudamel acusa de ignorancia a Chalamet por decir que “a nadie le importa la ópera ni el ballet”,Francesc Peirón,https://www.lavanguardia.com/internacional/20260311/11486743/dudamel-acusa-ignorancia-chalamet-decir-nadie-le-importa-opera-ballet.html,11/03/2026,Nueva York,"Argentina, Venezuela",NA,65
138,lavanguardia.com,El silencio cómplice,Jordi Armadans,https://www.lavanguardia.com/internacional/20260311/11486599/silenciocomplice.html,11/03/2026,NA,Estados Unidos,Donald Trump,NA
139,lavanguardia.com,Recrean la icónica escena de 'Titanic' con una escultura satírica de Donald Trump y Jeffrey Epstein en Washington,La Vanguardia,https://www.lavanguardia.com/internacional/20260311/11486519/recrean-iconica-escena-titanic-escultura-satirica-donald-trump-jeffrey-epstein-washington.html,11/03/2026,Barcelona,NA,Donald Trump,NA
140,lavanguardia.com,El ejército estadounidense anuncia que ha destruido 16 barcos minadores iraníes,Agencias,https://www.lavanguardia.com/internacional/20260311/11486563/ejercito-estadounidense-anuncia-destruido-16-barcos-minadores-iranies.html,11/03/2026,Washington,"Irán, Israel",Donald Trump,9
141,lavanguardia.com,Alabama conmuta la pena capital al acusado que no mató a nadie,Francesc Peirón,https://www.lavanguardia.com/internacional/20260310/11486472/alabama-conmuta-pena-capital-acusado-mato-nadie.html,10/03/2026,Nueva York,Estados Unidos,NA,9
142,lavanguardia.com,Al menos seis muertos y 37 heridos tras un ataque ucraniano en la región rusa de Briansk,Agencias,https://www.lavanguardia.com/internacional/20260310/11486463/seis-muertos-37-heridos-ataque-ucraniano-region-rusa-briansk.html,10/03/2026,Moscú,Rusia,NA,NA
143,lavanguardia.com,El Vaticano saca a la luz un 'Redentor' inédito de El Greco oculto bajo una falsificación,Agencias,https://www.lavanguardia.com/cultura/20260310/11486434/vaticano-saca-luz-redentor-inedito-greco-oculto-falsificacion.html,10/03/2026,Madrid,NA,NA,NA
144,lavanguardia.com,La factura de EE.UU. en munición subió a 5.600 millones en los dos primeros días de guerra,Francesc Peirón,https://www.lavanguardia.com/internacional/20260310/11486423/factura-ee-uu-municion-subio-5-600-millones-dos-primeros-dias-guerra.html,10/03/2026,Nueva York,"Irán, Israel, Estados Unidos",Donald Trump,56
145,lavanguardia.com,El Pentágono anuncia que hoy será “el día más intenso de ataques” en la guerra de Irán,Javier de la Sotilla,https://www.lavanguardia.com/internacional/20260310/11486209/pentagono-anuncia-hoy-sera-dia-mas-intenso-ataques-guerra-iran.html,10/03/2026,Washington,"Afganistán, China, Irán, Irak, Israel, Libia, Rusia, Ucrania, Estados Unidos",Donald Trump,89
146,lavanguardia.com,Irán e Israel desafían a Trump y se muestran dispuestos a prolongar la guerra,Daniel R. Caruncho,https://www.lavanguardia.com/internacional/20260310/11486160/iran-e-israel-desafian-trump-muestran-dispuestos-prolongar-guerra.html,10/03/2026,Barcelona,"Irán, Israel, Líbano, Pakistán, Arabia Saudí","Donald Trump, Netanyahu",58
147,lavanguardia.com,"El patrimonio del nuevo líder de Irán: hoteles en Mallorca, pisos de lujo en Londres y una fortuna que supera los 400 millones",Josep Maria Bermejo,https://www.lavanguardia.com/internacional/20260310/11486151/patrimonio-nuevo-lider-iran-fortuna-supera-400-millones-euros.html,10/03/2026,Barcelona,"Chipre, Alemania, Irán, Isla de Man, Luxemburgo, San Cristóbal y Nieves, Suiza, Emiratos Árabes Unidos, Reino Unido, Estados Unidos",NA,318
148,lavanguardia.com,Obligada “pausa iraní” en las negociaciones de paz entre Rusia y Ucrania,Gonzalo Aragonés,https://www.lavanguardia.com/internacional/20260310/11486021/obligada-pausa-irani-en-las-negociaciones-de-paz-entre-rusia-y-ucrania.html,10/03/2026,Moscú,"Afganistán, Irán, Israel, Rusia, Suiza, Turquía, Ucrania, Emiratos Árabes Unidos, Estados Unidos","Donald Trump, Zelenski, Putin, putin, zelenski",1
149,lavanguardia.com,Turquía despliega misiles Patriot de la OTAN tras interceptar dos proyectiles iraníes,Agencias,https://www.lavanguardia.com/internacional/20260310/11485990/turquia-despliega-misiles-patriot-otan-interceptar-dos-proyectiles-iranies.html,10/03/2026,Estambul,"Alemania, Irán, Países Bajos, Corea del Sur, España, Siria, Turquía, Estados Unidos",NA,1
150,lavanguardia.com,Costa defiende un orden internacional basado en normas frente al giro de Von der Leyen,Anna Buj,https://www.lavanguardia.com/internacional/20260310/11485902/costa-defiende-orden-internacional-basado-normas-frente-giro-von-der-leyen.html,10/03/2026,Bruselas,"China, Irán, Israel, Italia, Rusia, Reunión, España, Estados Unidos","von der Leyen, Von der Leyen, Donald Trump, Putin",271
151,lavanguardia.com,Siete futbolistas iraníes reciben asilo en Australia y el resto del equipo vuela a Malasia,Agencias,https://www.lavanguardia.com/deportes/futbol/20260310/11485790/cinco-jugadoras-seleccion-futbol-iran-desertan-australia.html,10/03/2026,Melbourne,"Australia, Irán, Israel, Malasia, Estados Unidos",Donald Trump,NA
152,lavanguardia.com,"Trump advierte que está valorando “una toma de control amistosa, o no” de Cuba",Agencias,https://www.lavanguardia.com/internacional/20260310/11485786/trump-advierte-esta-valorando-toma-control-amistosa-cuba.html,10/03/2026,Miami,"Cuba, Irán, Estados Unidos",Donald Trump,17
153,lavanguardia.com,Chipre se queja por el largo retraso en la llegada de un destructor británico a la isla,Rafael Ramos,https://www.lavanguardia.com/internacional/20260310/11485586/chipre-queja-retraso-llegada-destructor-britanico-isla.html,10/03/2026,Londres,"Chipre, Francia, Grecia, Irán, Reunión, Reino Unido",NA,2
154,lavanguardia.com,"Mojtaba Jamenei, el hijo del padre",Catalina Gómez Ángel,https://www.lavanguardia.com/internacional/20260310/11485579/mojtaba-hijo-padre.html,10/03/2026,Teherán,"Irán, Israel",NA,43
155,lavanguardia.com,Macron anuncia el envío de una flota europea a Ormuz “cuando sea posible”,Eusebio Val,https://www.lavanguardia.com/internacional/20260310/11485533/macron-anuncia-envio-flota-europea-ormuz-sea-posible.html,10/03/2026,París,"Chipre, Yibuti, Francia, Alemania, Grecia, Irán, Italia, Jordania, Kuwait, Líbano, Países Bajos, España, Emiratos Árabes Unidos, Estados Unidos",NA,16
156,lavanguardia.com,Irán responde a Trump: “Somos quienes determinaremos el fin de la guerra”,Agencias,https://www.lavanguardia.com/internacional/20260310/11485777/iran-responde-trump-quienes-determinaremos-guerra.html,10/03/2026,Ciudad,"Irán, Israel, Estados Unidos",Donald Trump,8
157,lavanguardia.com,León XIV eleva el tono ante la guerra de Trump y Netanyahu,Francesco Olivo,https://www.lavanguardia.com/internacional/20260309/11485590/leon-xiv-eleva-tono-guerra-trump-netanyahu.html,09/03/2026,Roma,"Irán, Israel, Estados Unidos","Netanyahu, Donald Trump, netanyahu",29
158,lavanguardia.com,Trump dice que la guerra en Irán está “casi terminada” y promete luchar hasta la “victoria total”,Javier de la Sotilla,https://www.lavanguardia.com/internacional/20260309/11485587/trump-afirma-guerra-iran-esta-practicamente-terminada.html,09/03/2026,Washington,"Irán, Israel, Rusia, Ucrania, Estados Unidos, Venezuela","Donald Trump, Putin, putin",374
159,lavanguardia.com,Dos detenidos por su lealtad al Estado Islámico tras tratar de lanzar bombas contra una protesta de ultras,Francesc Peirón,https://www.lavanguardia.com/internacional/20260309/11485570/dos-detenidos-lealtad-islamico-tratar-lanzar-bombas-protesta-ultras.html,09/03/2026,Nueva York,"Irán, Estados Unidos",Donald Trump,6
160,lavanguardia.com,Turquía intercepta un segundo misil balístico iraní y despliega seis cazas en el norte de Chipre,Helena Pelicano,https://www.lavanguardia.com/internacional/20260309/11485576/turquia-intercepta-segundo-misil-balistico-irani-despliega-seis-cazas-norte-chipre.html,09/03/2026,Jerusalén,"Chipre, Irán, Israel, Kuwait, Líbano, Reunión, Arabia Saudí, Turquía, Emiratos Árabes Unidos, Estados Unidos",NA,29
161,lavanguardia.com,Una broma que acaba con la muerte de un “querido” profesor de matemáticas y un estudiante acusado de homicidio,Agencias,https://www.lavanguardia.com/internacional/20260309/11485537/broma-acaba-tragedia-estudiante-acusado-muerte-querido-profesor.html,09/03/2026,Gainesville,Georgia,NA,NA
162,lavanguardia.com,Putin ofrece enviar petróleo y gas a Europa si así lo pide y sin condiciones políticas,Gonzalo Aragonés,https://www.lavanguardia.com/internacional/20260309/11485516/putin-ofrece-enviar-petroleo-y-gas-a-europa-si-asi-lo-pide-y-sin-condiciones-politicas.html,09/03/2026,Moscú,"Afganistán, China, Alemania, Hungría, India, Irán, Israel, Rusia, Reunión, Eslovaquia, Turquía, Ucrania, Estados Unidos","Putin, von der Leyen, Zelenski",4
163,lavanguardia.com,El iberista Seguro promete hacer frente al “frenesí electoral” en el Portugal que ya preside,Anxo Lugilde,https://www.lavanguardia.com/internacional/20260309/11485335/iberista-seguro-promete-frente-frenesi-electoral-portugal-preside.html,09/03/2026,NA,"Irán, Montenegro, Portugal, España",Donald Trump,2
164,lavanguardia.com,"Espías, gas y fragatas en el tablero de Chipre",Francesco Olivo,https://www.lavanguardia.com/internacional/20260309/11485501/espias-gas-fragatas-tablero-chipre.html,09/03/2026,Roma,"Chipre, Egipto, Estonia, Grecia, Irán, Irak, Israel, Italia, Libia, Países Bajos, Rusia, España, Siria, Turquía, Estados Unidos",NA,10
165,lavanguardia.com,Guerra de Irán y los ataques de Israel y EE.UU.: Trump y Putin mantienen una conversación por primera vez este año,Casandra Maggio,https://www.lavanguardia.com/internacional/20260309/11485371/guerra-iran-ataques-eeuu-iran-teheran-misiles-turquia-ultima-hora-en-directo.html,09/03/2026,NA,NA,NA,NA
166,lavanguardia.com,Trump pide a Australia que conceda asilo a futbolistas iraníes y ofrece refugio en EE.UU.,Agencias,https://www.lavanguardia.com/internacional/20260309/11485409/trump-pide-australia-conceda-asilo-futbolistas-iranies-ofrece-refugio-ee-uu.html,09/03/2026,Washington,"Australia, Irán, Israel, Corea del Sur, Estados Unidos",Donald Trump,NA
167,lavanguardia.com,"Guerra de Irán y la última hora de los ataques de EE.UU e Israel, en directo: Francia planea escoltar petroleros en el estrecho de Ormuz",Arnau Ruiz,https://www.lavanguardia.com/internacional/20260309/11484767/guerra-iran-ataques-eeuu-israel-mojtaba-jamenei-misiles-trump-en-directo.html,09/03/2026,NA,NA,NA,NA
168,lavanguardia.com,Von der Leyen endurece la política exterior de la UE: “No se debe llorar por el régimen iraní”,Anna Buj,https://www.lavanguardia.com/internacional/20260309/11485243/von-der-leyen-endurece-politica-exterior-ue-debe-llorar-regimen-irani.html,09/03/2026,Bruselas,"Baréin, Egipto, Irán, Irak, Israel, Italia, Líbano, Reunión, Arabia Saudí, Siria, Turquía, Estados Unidos","von der Leyen, Von der Leyen, Donald Trump, Putin, putin",442
169,lavanguardia.com,Macron anuncia que Europa enviará una flota a Ormuz “en cuanto sea posible”,Eusebio Val,https://www.lavanguardia.com/internacional/20260309/11485296/macron-anuncia-europa-enviara-flota-ormuz-cuanto-sea-posible.html,09/03/2026,París,"Chipre, Francia, Alemania, Irán, Italia, Turquía, Estados Unidos",Pedro Sánchez,9
170,lavanguardia.com,El rearme global alcanza niveles récord,Josep M. Bermejo Manchó,https://www.lavanguardia.com/internacional/20260309/11485230/rearme-global-alcanza-niveles-record.html,09/03/2026,NA,"Argelia, Brasil, China, Francia, Alemania, India, Israel, Italia, Kuwait, Marruecos, Pakistán, Polonia, Rusia, Arabia Saudí, Ucrania, Reino Unido, Estados Unidos",Donald Trump,1
